diacritical_marks_vietnamese,no_accents_mark_vietnamese
Tom là người đã ở đây tuần trước.,Tom la nguoi da o day tuan truoc.
Tom không còn tò mò như trước đây.,Tom khong con to mo nhu truoc day.
Tom đá cái cửa đang đóng ở phía sau,Tom da cai cua dang dong o phia sau
Tom biết rằng anh ấy không nên nói ra điều đó.,Tom biet rang anh ay khong nen noi ra dieu do.
Tom nói là anh ta không còn lựa chọn nào khác.,Tom noi la anh ta khong con lua chon nao khac.
Tom nói ông ta không còn lựa chọn nào khác.,Tom noi ong ta khong con lua chon nao khac.
Tom đã nói rằng anh ấy không muốn rời đi.,Tom da noi rang anh ay khong muon roi di.
Tom nói rằng nó chưa bao giờ nói dối Mary.,Tom noi rang no chua bao gio noi doi Mary.
Tom nói là anh ta chưa nói dối Mary bao giờ.,Tom noi la anh ta chua noi doi Mary bao gio.
Tom nói với Mary là cô ấy không nên bơi.,Tom noi voi Mary la co ay khong nen boi.
Tom nói với tôi là anh ấy muốn đi đến Boston.,Tom noi voi toi la anh ay muon di den Boston.
Tom nói với tôi là anh ấy muốn đi Boston.,Tom noi voi toi la anh ay muon di Boston.
Cả người Tom ướt như chuột lột vì trời mưa.,Ca nguoi Tom uot nhu chuot lot vi troi mua.
Cả người Tom bị ướt như chuột lột vì trời mưa.,Ca nguoi Tom bi uot nhu chuot lot vi troi mua.
Sản phẩm của Tom đã trở nên còn tệ hơn trước.,San pham cua Tom da tro nen con te hon truoc.
Tác phẩm của Tom đã trở nên còn tệ hơn lúc trước.,Tac pham cua Tom da tro nen con te hon luc truoc.
Chúng tôi đã có một trải nghiệm không mấy dễ chịu ở đó.,Chung toi da co mot trai nghiem khong may de chiu o do.
Chúng tôi đã có một trải nghiệm khá tệ ở đó.,Chung toi da co mot trai nghiem kha te o do.
Chúng tôi hy vọng có thể thắng cuộc chơi.,Chung toi hy vong co the thang cuoc choi.
Chúng tôi thường hay ăn sáng trong bếp.,Chung toi thuong hay an sang trong bep.
Chúng tôi đã bỗng nhiên gặp nhau ở nhà ga.,Chung toi da bong nhien gap nhau o nha ga.
Chúng tôi không nói về điều đó nữa.,Chung toi khong noi ve dieu do nua.
Điều gì khiến bạn nghĩ rằng chúng ta sẽ không thành công?,Dieu gi khien ban nghi rang chung ta se khong thanh cong?
Điều gì khiến việc đó không xảy ra?,Dieu gi khien viec do khong xay ra?
"Khi anh ấy nói, mọi người bắt đầu im lặng.","Khi anh ay noi, moi nguoi bat dau im lang."
Xe buýt sân bay khởi hành từ đâu?,Xe buyt san bay khoi hanh tu dau?
Bạn nghĩ bạn là ai?,Ban nghi ban la ai?
Mày nghĩ mày là ai?,May nghi may la ai?
Mày nghĩ mày là cái đéo gì?,May nghi may la cai deo gi?
Mày nghĩ mày là cái thá gì?,May nghi may la cai tha gi?
Mày nghĩ mày là cái lồn gì?,May nghi may la cai lon gi?
Mày nghĩ mày là cái chó gì?,May nghi may la cai cho gi?
Mày nghĩ mày là cái buồi gì?,May nghi may la cai buoi gi?
Bạn có muốn một vài bức hình đó không?,Ban co muon mot vai buc hinh do khong?
Bạn có muốn một vài bức tranh đó không?,Ban co muon mot vai buc tranh do khong?
Bạn có muốn thêm đường vào trà không?,Ban co muon them duong vao tra khong?
ông có muốn thêm đường vào trà không?,ong co muon them duong vao tra khong?
Các bạn có muốn thêm đường vào trà không?,Cac ban co muon them duong vao tra khong?
Các ông có muốn thêm đường vào trà không?,Cac ong co muon them duong vao tra khong?
Tụi bây có muốn thêm đường vào trà không?,Tui bay co muon them duong vao tra khong?
Bọn mày có muốn thêm đường vào trà không?,Bon may co muon them duong vao tra khong?
Chúng mày có muốn thêm đường vào trà không?,Chung may co muon them duong vao tra khong?
Bạn không muốn Tom làm việc đó có đúng không?,Ban khong muon Tom lam viec do co dung khong?
Mày gan lắm. Dám bơ tao à.,May gan lam. Dam bo tao a.
"Bạn giỏi lắm, dám phớt lờ tôi cơ đấy!","Ban gioi lam, dam phot lo toi co day!"
Bạn hãy bắt đầu trong thời gian sớm nhất có thể.,Ban hay bat dau trong thoi gian som nhat co the.
Đáng lẽ bạn không nên ăn cá sống.,Dang le ban khong nen an ca song.
Bạn chưa đi châu Âu lần nào có đúng không?,Ban chua di chau Au lan nao co dung khong?
"Tôi muốn đánh bài. ""Tôi cũng vậy.""","Toi muon danh bai. ""Toi cung vay."""
Tất cả những gì bạn phải làm là nhấn cái nút.,Tat ca nhung gi ban phai lam la nhan cai nut.
Bạn có chắc là một ở lại một mình không.,Ban co chac la mot o lai mot minh khong.
Bill Gates là người sáng lập Microsoft.,Bill Gates la nguoi sang lap Microsoft.
Anh ấy và tôi đều là thành viên của câu lạc bộ đó.,Anh ay va toi deu la thanh vien cua cau lac bo do.
Detroit nổi tiếng về ngành công nghiệp xe hơi.,Detroit noi tieng ve nganh cong nghiep xe hoi.
Cậu còn điều gì muốn nói nữa không?,Cau con dieu gi muon noi nua khong?
Bạn có nghĩ là bạn làm việc với chúng tôi được không?,Ban co nghi la ban lam viec voi chung toi duoc khong?
Hy Lạp giờ đã không còn khả năng chi trả nợ quốc gia.,Hy Lap gio da khong con kha nang chi tra no quoc gia.
Anh ấy đã quyên góp 10 nghìn Đô-la cho quỹ hỗ trợ người tị nạn.,Anh ay da quyen gop 10 nghin Do-la cho quy ho tro nguoi ti nan.
"Anh ta đã từng hy vọng sẽ thành công, nhưng điều đó không thành hiện thực.","Anh ta da tung hy vong se thanh cong, nhung dieu do khong thanh hien thuc."
Anh ấy là một bồi bàn trong một nhà hàng trên bờ biển.,Anh ay la mot boi ban trong mot nha hang tren bo bien.
Anh ta là một nhân viên bồi bàn cho một nhà hàng ven biển.,Anh ta la mot nhan vien boi ban cho mot nha hang ven bien.
Anh ấy giữ bình tĩnh khi đối mặt với nguy hiểm.,Anh ay giu binh tinh khi doi mat voi nguy hiem.
Anh ta đã rời khỏi phòng mà không nói lời nào.,Anh ta da roi khoi phong ma khong noi loi nao.
Anh ấy đã đến kịp chuyến tàu cuối cùng.,Anh ay da den kip chuyen tau cuoi cung.
Ông ấy đã tới kịp chuyến tàu cuối cùng.,Ong ay da toi kip chuyen tau cuoi cung.
Cậu ta rất nghèo lúc còn trẻ.,Cau ta rat ngheo luc con tre.
"Bạn phát âm từ ""WiFi"" trong tiếng Pháp như thế nào?","Ban phat am tu ""WiFi"" trong tieng Phap nhu the nao?"
"Tôi chấp nhận, nhưng có một điều kiện.","Toi chap nhan, nhung co mot dieu kien."
Tôi không ngu ngốc vì em nữa đâu.,Toi khong ngu ngoc vi em nua dau.
Tôi đã ăn đồ tối qua cho bữa trưa.,Toi da an do toi qua cho bua trua.
Tôi có thể lấy một trong những cái đó bất kỳ khi nào tôi muốn.,Toi co the lay mot trong nhung cai do bat ky khi nao toi muon.
"Tôi nói rồi, nhưng chẳng ai nghe cả.","Toi noi roi, nhung chang ai nghe ca."
"Tôi đã nói rồi, nhưng không một ai lắng nghe cả.","Toi da noi roi, nhung khong mot ai lang nghe ca."
"Tôi đã nói, nhưng không có ai lắng nghe tôi cả.","Toi da noi, nhung khong co ai lang nghe toi ca."
"Tôi nói rồi đấy, nhưng không có một ai nghe tôi hết.","Toi noi roi day, nhung khong co mot ai nghe toi het."
"Tôi đã nói, nhưng không ai nghe tôi hết.","Toi da noi, nhung khong ai nghe toi het."
Tôi không biết Mary là bạn gái của bạn.,Toi khong biet Mary la ban gai cua ban.
Tôi đã không biết Mary là bạn gái của bạn.,Toi da khong biet Mary la ban gai cua ban.
Tôi không biết Tom là bạn trai của Mary.,Toi khong biet Tom la ban trai cua Mary.
Tôi không biết Tom là bạn trai Mary.,Toi khong biet Tom la ban trai Mary.
Tôi không biết là Tom đã từng làm điều đó.,Toi khong biet la Tom da tung lam dieu do.
Tôi không hiểu chuyện gì đã xảy ra.,Toi khong hieu chuyen gi da xay ra.
Tôi không biết bất cứ ai ở thị trấn này.,Toi khong biet bat cu ai o thi tran nay.
Tôi không rõ khi nào tôi sẽ quay trở lại.,Toi khong ro khi nao toi se quay tro lai.
Tôi không biết rõ khi nào thì tôi sẽ trở lại.,Toi khong biet ro khi nao thi toi se tro lai.
Tôi không biết có thể chịu được thêm đến đâu.,Toi khong biet co the chiu duoc them den dau.
Tôi không biết khi nào thì Tom rời Nhật Bản.,Toi khong biet khi nao thi Tom roi Nhat Ban.
Tôi không biết khi nào thì Tom sẽ rời Nhật Bản.,Toi khong biet khi nao thi Tom se roi Nhat Ban.
Tôi không biết nên đi đâu hay làm gì.,Toi khong biet nen di dau hay lam gi.
Bây giờ tôi đã không còn nhớ được chuyện gì đã xảy ra nữa rồi.,Bay gio toi da khong con nho duoc chuyen gi da xay ra nua roi.
"Chuyện gì đã xảy ra, bây giờ tôi đã không còn nhớ được nữa rồi.","Chuyen gi da xay ra, bay gio toi da khong con nho duoc nua roi."
Tôi không nghĩ ngày mai trời sẽ mưa.,Toi khong nghi ngay mai troi se mua.
Tôi không nghĩ mai trời sẽ mưa đâu.,Toi khong nghi mai troi se mua dau.
Tôi không muốn nghe những lời biện hộ củ chuối của cậu.,Toi khong muon nghe nhung loi bien ho cu chuoi cua cau.
Tôi có điều cần bàn với bạn.,Toi co dieu can ban voi ban.
Tôi phải về nhà mỗi khi trời tối.,Toi phai ve nha moi khi troi toi.
Tôi từng gặp một học sinh đến từ Mĩ ngày hôm qua.,Toi tung gap mot hoc sinh den tu Mi ngay hom qua.
Hôm qua tôi đã gặp anh ấy lần đầu tiên.,Hom qua toi da gap anh ay lan dau tien.
Hôm qua là lần đầu tiên tôi gặp ông ấy.,Hom qua la lan dau tien toi gap ong ay.
Hôm qua là lần đầu tiên tôi gặp ông ấy đấy.,Hom qua la lan dau tien toi gap ong ay day.
Hôm qua là lần đầu tôi gặp anh ấy đấy.,Hom qua la lan dau toi gap anh ay day.
Tôi nói là tôi không hiểu tiếng Pháp.,Toi noi la toi khong hieu tieng Phap.
Tớ còn phải bỏ tấm thảm đi.,To con phai bo tam tham di.
Tôi nghĩ anh ấy kiếm tiền từ việc buôn bán cá.,Toi nghi anh ay kiem tien tu viec buon ban ca.
Tôi nói với Tom là bạn đã biết mình cần phải làm gì.,Toi noi voi Tom la ban da biet minh can phai lam gi.
Tôi đã dịch bài thơ này tốt nhất có thể.,Toi da dich bai tho nay tot nhat co the.
Tôi muốn sống ở Boston hoặc là Chicago.,Toi muon song o Boston hoac la Chicago.
Tuần trước tôi đi công tác đấy.,Tuan truoc toi di cong tac day.
Tôi đã bất ngờ khi thấy bạn thắng giải đấy.,Toi da bat ngo khi thay ban thang giai day.
Lúc đó tôi đang chờ xe buýt.,Luc do toi dang cho xe buyt.
Tôi sẽ giúp anh ta bất kể bạn nói gì.,Toi se giup anh ta bat ke ban noi gi.
Sáng nay tôi tỉnh giấc vì cơn đau đầu.,Sang nay toi tinh giac vi con dau dau.
Tôi muốn cho bạn một lời khuyên.,Toi muon cho ban mot loi khuyen.
Tôi sẽ đọc sách trong lúc bạn đang ngủ.,Toi se doc sach trong luc ban dang ngu.
Tớ mang ô đề phòng trời mưa.,To mang o de phong troi mua.
Tớ mang ô phòng trời mưa,To mang o phong troi mua
Tớ mang ô nhỡ trời mưa.,To mang o nho troi mua.
Tôi sẽ dắt chó của bạn đi dạo nếu bạn muốn.,Toi se dat cho cua ban di dao neu ban muon.
Tôi không giỏi nhớ tên người khác lắm đâu.,Toi khong gioi nho ten nguoi khac lam dau.
Tôi xin lỗi nếu làm bạn cảm thấy không được chào đón.,Toi xin loi neu lam ban cam thay khong duoc chao don.
Tôi xin lỗi nếu làm bạn cảm thấy không được hoan nghênh.,Toi xin loi neu lam ban cam thay khong duoc hoan nghenh.
"Nếu anh đánh mất tình yêu của em, anh sẽ đánh mất tất cả.","Neu anh danh mat tinh yeu cua em, anh se danh mat tat ca."
"Nếu em đánh mất tình yêu của anh, em sẽ đánh mất tất cả.","Neu em danh mat tinh yeu cua anh, em se danh mat tat ca."
"Nếu anh đánh mất tình yêu của em, anh sẽ đánh mất mọi thứ.","Neu anh danh mat tinh yeu cua em, anh se danh mat moi thu."
"Nếu em đánh mất tình yêu của anh, em sẽ đánh mất mọi thứ.","Neu em danh mat tinh yeu cua anh, em se danh mat moi thu."
Nếu mai trời mưa thì họ sẽ không đi.,Neu mai troi mua thi ho se khong di.
"Nếu bạn ăn quá nhiều, bạn sẽ béo lên.","Neu ban an qua nhieu, ban se beo len."
"Nếu bạn gặp Tom, hãy nói với nó giúp tôi.","Neu ban gap Tom, hay noi voi no giup toi."
"Nếu mày gặp Tom, làm ơn nói nó giùm tao.","Neu may gap Tom, lam on noi no gium tao."
"Nếu mày thấy Tom, làm ơn nói nó giùm tao.","Neu may thay Tom, lam on noi no gium tao."
"Nếu bạn thấy Tom, xin kể cho anh ấy giúp tôi.","Neu ban thay Tom, xin ke cho anh ay giup toi."
"Theo ý tôi, đá banh là môn thể thao tuyệt vời.","Theo y toi, da banh la mon the thao tuyet voi."
Có thật là tuần trước Tom đã ở Boston không?,Co that la tuan truoc Tom da o Boston khong?
Có thật là tuần trước Tom đã ở Boston không vậy?,Co that la tuan truoc Tom da o Boston khong vay?
Có thật là bạn không biết nói tiếng Pháp không?,Co that la ban khong biet noi tieng Phap khong?
Bạn còn câu hỏi gì không?,Ban con cau hoi gi khong?
Quá dễ để tôi giải bài toán.,Qua de de toi giai bai toan.
Quá dễ để tao giải bài toán.,Qua de de tao giai bai toan.
Quá dễ để tôi giải quyết vấn đề.,Qua de de toi giai quyet van de.
Quá dễ để tao giải quyết vấn đề.,Qua de de tao giai quyet van de.
Từ bỏ những thói quen xấu là một việc không đơn giản.,Tu bo nhung thoi quen xau la mot viec khong don gian.
Hôm nay có lẽ sẽ là một ngày dài đây.,Hom nay co le se la mot ngay dai day.
Hoá ra cậu đã đúng về điều đó.,Hoa ra cau da dung ve dieu do.
Từ bỏ những thói quen xấu là một việc không đơn giản.,Tu bo nhung thoi quen xau la mot viec khong don gian.
Để yên cho tôi ngủ một chút.,De yen cho toi ngu mot chut.
Bạn hãy cho tôi biết những ngày bạn có thể đến được.,Ban hay cho toi biet nhung ngay ban co the den duoc.
Chúng ta hãy đi ra ngoài và ngồi trong vườn.,Chung ta hay di ra ngoai va ngoi trong vuon.
Hãy ngồi đây một chút và lắng nghe.,Hay ngoi day mot chut va lang nghe.
Làm mô hình tàu vũ trụ thật là thú vị.,Lam mo hinh tau vu tru that la thu vi.
Nhiều đứa trẻ đã chơi ở trong công viên.,Nhieu dua tre da choi o trong cong vien.
Nhiều đứa trẻ đã chơi trong công viên.,Nhieu dua tre da choi trong cong vien.
Bố tôi thường ở nhà vào Chủ Nhật.,Bo toi thuong o nha vao Chu Nhat.
Ba tui thường ở nhà vào ngày Chủ Nhật.,Ba tui thuong o nha vao ngay Chu Nhat.
Cha tôi sẽ đi du lịch nước ngoài vào năm sau.,Cha toi se di du lich nuoc ngoai vao nam sau.
Mẹ tôi nói tiếng Anh không giỏi lắm.,Me toi noi tieng Anh khong gioi lam.
Mẹ tôi nói tiếng Anh không được giỏi cho lắm.,Me toi noi tieng Anh khong duoc gioi cho lam.
Cái sướng của người này là nỗi khổ của người khác.,Cai suong cua nguoi nay la noi kho cua nguoi khac.
Gần đây chúng ta có rất nhiều thảm họa.,Gan day chung ta co rat nhieu tham hoa.
Cô ấy đã đóng hết cửa sổ trong phòng.,Co ay da dong het cua so trong phong.
"Cửa sổ trong phòng, cô ấy đã đóng hết.","Cua so trong phong, co ay da dong het."
Cô ấy sinh bé gái hồi hôm qua.,Co ay sinh be gai hoi hom qua.
"Hôm qua, cô ấy đã sinh ra một bé gái.","Hom qua, co ay da sinh ra mot be gai."
"Hôm qua, cô ấy đã sinh ra một đứa con gái.","Hom qua, co ay da sinh ra mot dua con gai."
cô ấy đã sinh ra một bé gái hồi hôm qua.,co ay da sinh ra mot be gai hoi hom qua.
Cô ấy đã nói cho tôi biết tên của anh ấy sau khi anh ấy rời đi.,Co ay da noi cho toi biet ten cua anh ay sau khi anh ay roi di.
"Sau khi anh ấy rời đi, cô ấy đã nói cho chúng tôi biết tên anh ấy.","Sau khi anh ay roi di, co ay da noi cho chung toi biet ten anh ay."
"Vì tôi mệt mỏi, nên tôi đi ngủ sớm.","Vi toi met moi, nen toi di ngu som."
Mắt phải của tôi bị gì đó rồi.,Mat phai cua toi bi gi do roi.
Cảm ơn bạn vì đã mời tôi đến dự bữa tiệc này.,Cam on ban vi da moi toi den du bua tiec nay.
Thầy đừng nói chuyện với học sinh của thầy kiểu đó.,Thay dung noi chuyen voi hoc sinh cua thay kieu do.
Thầy đừng có mà nói chuyện với học sinh của thầy kiểu đó.,Thay dung co ma noi chuyen voi hoc sinh cua thay kieu do.
Cô đừng nói chuyện với học sinh của mình kiểu vậy.,Co dung noi chuyen voi hoc sinh cua minh kieu vay.
Một giáo viên thì không nên nói như thế.,Mot giao vien thi khong nen noi nhu the.
Đã là một giáo viên thì không nên nói những câu như vậy.,Da la mot giao vien thi khong nen noi nhung cau nhu vay.
Buổi triển lãm sẽ được tổ chức vào tháng sau.,Buoi trien lam se duoc to chuc vao thang sau.
Khách sạn đó nằm dưới chân núi.,Khach san do nam duoi chan nui.
Tôi có nhiều việc phải làm.,Toi co nhieu viec phai lam.
